"","Alphas","P-val","Betas","P-val","R-Squred"
"AAPL",0.992134164012447,0.0807009038802045,1.0236114148762,9.4779671487452e-13,0.306453990755941
"MSFT",0.741570307321869,0.0781203374070898,0.869026301194595,1.49317570618268e-15,0.368015007865157
"WMT",0.42607080002577,0.296334880447154,0.363779138411501,0.000160834979189732,0.092491455128483
"TGT",0.392426147841803,0.47544451279137,0.722238470887425,6.6826750781043e-08,0.186410007678225
"WFC",-0.998800523044998,0.0342452037132194,1.19293286222288,9.30055784410476e-21,0.468576875143217
"JPM",-0.483394354454984,0.26722205600925,1.31257655214558,5.68428084875392e-26,0.55348873841737
"AAL",-0.75232392170249,0.501408490468536,1.33905112223898,7.01291932574736e-07,0.158879794798097
"BA",-0.684901570070984,0.325626492739359,1.37330537023549,1.85144216173972e-14,0.34465090255325
"XOM",-1.2464184664291,0.00392368115589243,1.09578488265001,4.88003014601372e-21,0.473518171704862
"CVX",-0.987167758524695,0.0201108991099009,1.1654596370605,3.17677222584025e-23,0.510566926727131
