"","Alpha","Pvalue","MKT","Pvalue","SMB","Pvalue","HML","Pvalue","R-Squred"
"AAPL",0.573901308923328,0.292042294061638,1.21426961991756,2.27717778218598e-15,-0.394723534870483,0.0829767731982882,-0.597306968567327,0.00196040002687533,0.379037784212987
"MSFT",0.517096335706371,0.198822239312793,1.05178532464396,2.87538698014646e-19,-0.673422644666129,9.02250208471381e-05,-0.0563867693258767,0.686929789872023,0.438542541226363
"WMT",0.225723621451907,0.568851346981728,0.522655709909334,4.67880337174547e-07,-0.576713965904358,0.000623762688204764,-0.0642516655725083,0.641723351853137,0.170254668159587
"TGT",0.365577563030838,0.516208028806856,0.733182317795793,6.36463693997611e-07,-0.0179046829498566,0.939107162189621,-0.042599918400832,0.828091059581251,0.174782639590284
"WFC",-0.442465266665873,0.257311474059953,1.01955348228321,3.24405613021773e-19,0.0646092098290991,0.690678922443631,1.05810339639675,1.47681420186957e-12,0.643609981573003
"JPM",0.0137436529682941,0.970007290431012,1.16868350032837,3.97372893840299e-25,-0.00560928352179061,0.970611913055475,0.981772971714087,2.34313531876076e-12,0.694750360497079
"AAL",-0.121054098577722,0.912650861890257,1.00732475511341,0.000357724983376692,0.848016713237061,0.0667461010761162,0.757182940579473,0.0506709164358511,0.207857275740295
"BA",-0.326884634701763,0.635246811509475,1.26796570387235,1.41568661597403e-11,0.00579801063287329,0.983877739406923,0.701398721742454,0.00402671026783914,0.378522310536237
"XOM",-0.83372523171275,0.0337781469348365,0.92175673358228,1.08265448249592e-16,0.308550896606504,0.0588521347496663,0.635727887219967,6.5888643141919e-06,0.573652904657143
"CVX",-0.57639512050491,0.133272179369153,1.01495521040477,1.32319213695868e-19,0.176764554472744,0.268097518912942,0.707381661863198,4.25222003468708e-07,0.608858845882983
